HOSPITAL_ID,PAYOR1,APRDRG,SEVERITY,PATS,PWC,TD,TC,XC,XD
1,1,722,1,2,2,4,20601,10300.5,2
1,1,722,2,5,5,13,101588,20317.6,2.6
1,1,722,3,3,3,10,74310,24770,3.33
1,1,722,4,1,1,5,60408,60408,5
1,1,723,2,2,2,5,38398,19199,2.5
1,1,723,3,5,5,28,229498,45899.6,5.6
1,1,723,4,1,1,4,23560,23560,4
1,1,724,3,3,3,15,134357,44785.6667,5
1,1,740,1,1,1,2,52507,52507,2
1,1,756,3,1,1,2,17632,17632,2
1,1,756,4,1,1,5,41964,41964,5
1,1,773,2,1,1,9,51893,51893,9
1,1,792,1,1,1,14,182472,182472,14
1,1,792,2,1,1,5,109147,109147,5
1,1,792,3,4,4,28,581983,145495.75,7
1,1,792,4,3,3,25,234903,78301,8.33
1,1,793,2,2,2,13,180587,90293.5,6.5
1,1,793,3,3,3,20,235268,78422.6667,6.67
1,1,793,4,1,1,14,119236,119236,14
1,1,794,2,2,2,9,111352,55676,4.5
1,1,794,4,1,1,2,61515,61515,2
1,1,810,2,1,1,11,101231,101231,11
1,1,810,3,3,3,20,196208,65402.6667,6.67
1,1,811,2,1,1,3,25628,25628,3
1,1,812,4,2,2,16,321976,160988,8
1,1,813,1,6,6,19,187935,31322.5,3.17
1,1,813,2,12,12,33,315334,26277.8333,2.75
1,1,813,3,15,15,74,795321,53021.4,4.93
1,1,813,4,8,8,106,1210350,151293.75,13.25
1,1,850,1,2,2,12,163902,81951,6
1,1,850,2,4,4,25,546346,136586.5,6.25
1,1,850,3,9,9,73,1440956,160106.2222,8.11
1,1,861,2,7,7,31,230680,32954.2857,4.43
1,1,861,3,11,11,76,647184,58834.9091,6.91
1,1,861,4,1,1,4,58245,58245,4
1,1,862,2,5,5,18,184816,36963.2,3.6
1,1,862,3,5,5,17,232256,46451.2,3.4
1,1,862,4,1,1,6,73299,73299,6
1,1,890,3,2,2,16,155804,77902,8
